id,source_file,type,hebrew_text,english_translation,subject,restored_bw,colorized,transcription_confidence,notes,restored_clear,has_people
RUH-12,WhatsApp Image 2026-08-09 at 06.18.55 (2).jpeg,photo,,,Outdoor structure levered off its foundations; the ground dug out beneath it,images/bw/ruhama_1946_12_bw.jpg,images/color/ruhama_1946_12_colorized.jpg,high,One of the clearest prints in the set.,images/clear/ruhama_1946_12_clear.jpg,
RUH-13,WhatsApp Image 2026-08-09 at 06.18.55.jpeg,photo,,,"Floor and brick wall broken open, rubble heaped below a standing beam",images/bw/ruhama_1946_13_bw.jpg,images/color/ruhama_1946_13_colorized.jpg,high,Matches the accounts of floors being smashed and trenches dug along the walls.,images/clear/ruhama_1946_13_clear.jpg,
RUH-14,WhatsApp Image 2026-08-09 at 06.18.56 (1).jpeg,photo,,,Wrecked machinery / stove beside a corrugated wall,images/bw/ruhama_1946_14_bw.jpg,images/color/ruhama_1946_14_colorized.jpg,medium,"Orientation inferred, not certain.",images/clear/ruhama_1946_14_clear.jpg,
RUH-15,WhatsApp Image 2026-08-09 at 06.18.56 (2).jpeg,clipping,"""משק צעיר, בן שנתיים בנגב נהרס תוך שעות..."" / ""עמל שנים נהרס תוך שעות"" – פניה בה מתארגנת החקלאית הבינלאומית (תל־אביב)","""A young farm, two years old in the Negev, destroyed within hours..."" / ""Years of labour destroyed within hours"" - an appeal to the international agricultural body",Caption card plus clipping about the appeal to international agricultural organisations,,,medium,"Body text partly legible; mentions a 5-day operation and c. 2,000 soldiers.",,
RUH-16,WhatsApp Image 2026-08-09 at 06.18.56 (3).jpeg,photo,,,Storeroom or workshop with contents strewn across the floor,images/bw/ruhama_1946_16_bw.jpg,images/color/ruhama_1946_16_colorized.jpg,high,,images/clear/ruhama_1946_16_clear.jpg,
RUH-17,WhatsApp Image 2026-08-09 at 06.18.56.jpeg,title,"רוחמה במצור / חיפוש נשק תש""ו-1946",Ruhama Under Siege / Weapons Search 5706-1946,Exhibition title board,,,high,"The Hebrew year on the board reads תש""ו (5706). Late August 1946 falls in Elul 5706.",,
RUH-18,WhatsApp Image 2026-08-09 at 06.18.57 (1).jpeg,photo,,,Concrete floor broken up; graffiti chalked on the surface,images/bw/ruhama_1946_18_bw.jpg,images/color/ruhama_1946_18_colorized.jpg,medium,Orientation inferred. A heart and Latin letters are visible.,images/clear/ruhama_1946_18_clear.jpg,
RUH-19,WhatsApp Image 2026-08-09 at 06.18.57 (2).jpeg,photo,,,"Interior with windows, furniture overturned, bedding and paper across the floor",images/bw/ruhama_1946_19_bw.jpg,images/color/ruhama_1946_19_colorized.jpg,high,,images/clear/ruhama_1946_19_clear.jpg,
RUH-20,WhatsApp Image 2026-08-09 at 06.18.57 (3).jpeg,photo,,,Dark interior / doorway of a damaged building,images/bw/ruhama_1946_20_bw.jpg,images/color/ruhama_1946_20_colorized.jpg,low,Print is under-exposed; orientation inferred.,images/clear/ruhama_1946_20_clear.jpg,
RUH-21,WhatsApp Image 2026-08-09 at 06.18.57 (4).jpeg,photo,,,"Room stripped bare, mattresses slit open, table and chairs upturned",images/bw/ruhama_1946_21_bw.jpg,images/color/ruhama_1946_21_colorized.jpg,high,,images/clear/ruhama_1946_21_clear.jpg,
RUH-22,WhatsApp Image 2026-08-09 at 06.18.57.jpeg,caption,[חלקי] ...שלושה ואחרים... [כרטיס כחול],"[partial] blue caption card, text cut off in the photograph","Caption card, partly out of frame",,,low,Needs rephotographing.,,
RUH-23,WhatsApp Image 2026-08-09 at 06.18.58 (1).jpeg,photo,,,Exterior of a kibbutz building with the ground dug up along its wall,images/bw/ruhama_1946_23_bw.jpg,images/color/ruhama_1946_23_colorized.jpg,medium,Orientation inferred.,images/clear/ruhama_1946_23_clear.jpg,
RUH-24,WhatsApp Image 2026-08-09 at 06.18.58 (2).jpeg,caption,"צריף הקומונה ותכולתה הושחתה. ערימת בגדים מזוהמים, מכונות התפירה, ציוד, כלים, נוצות, חיתולי ילדים – הרכוש המועט שהיה לנו אינו יותר לשימוש.","The commune hut and its contents were ruined. A heap of soiled clothes, the sewing machines, equipment, utensils, feathers, babies' nappies - the little property we had is no longer usable.","Caption card, members' account of the commune hut",,,high,One of the most quotable lines on the whole board.,,
RUH-25,WhatsApp Image 2026-08-09 at 06.18.58.jpeg,clipping,"המעש (בטאון לח""י): ""מפאריס-לונדון עד רוחמה""","HaMa'as (organ of Lehi): ""From Paris-London to Ruhama""",Underground press clipping,,,medium,Shows the search was also used politically by the Revisionist underground.,,
RUH-26,WhatsApp Image 2026-08-09 at 06.19.01 (1).jpeg,photo,,,Slit mattresses and scattered bedding in a dark interior,images/bw/ruhama_1946_26_bw.jpg,images/color/ruhama_1946_26_colorized.jpg,high,,images/clear/ruhama_1946_26_clear.jpg,
RUH-27,WhatsApp Image 2026-08-09 at 06.19.01 (2).jpeg,photo,"שלט: ""התבואה תבוא / ...מיד אחת נפתח באש"" + כיתוב בערבית",Sign (partly legible) with Arabic text below; a young woman stands beside it,A woman beside a British warning sign posted at the settlement,images/bw/ruhama_1946_27_bw.jpg,images/color/ruhama_1946_27_colorized.jpg,medium,"The most human, most publishable image in the set. Sign text needs a clean scan; the Arabic line is a warning to open fire.",images/clear/ruhama_1946_27_clear.jpg,yes
RUH-28,WhatsApp Image 2026-08-09 at 06.19.01 (3).jpeg,photo,,,A member carrying a slit mattress out of a wrecked room,images/bw/ruhama_1946_28_bw.jpg,images/color/ruhama_1946_28_colorized.jpg,high,,images/clear/ruhama_1946_28_clear.jpg,yes
RUH-29,WhatsApp Image 2026-08-09 at 06.19.01.jpeg,photo,YEHUDI SWINE,YEHUDI SWINE,Antisemitic graffiti chalked on a blackboard by searching soldiers,images/bw/ruhama_1946_29_bw.jpg,images/color/ruhama_1946_29_colorized.jpg,high,"Documentary evidence of the conduct of the search; use with an explanatory caption, never as a standalone shock image.",images/clear/ruhama_1946_29_clear.jpg,
RUH-30,WhatsApp Image 2026-08-09 at 06.19.02 (1).jpeg,caption,"...תקו החיים בקיבוץ... בחדר האוכל... [מט]בח הרוס, הצי[וד]... ""ברנר"" נעקר מה[מקום]","[partial] ""...life in the kibbutz was cut off... in the dining hall... the kitchen destroyed, the equipment... the 'Brener' [burner/pump] torn out""",Caption card on the dining hall and kitchen,,,medium,Text runs off the edge of the photograph.,,
RUH-31,WhatsApp Image 2026-08-09 at 06.19.02 (2).jpeg,photo,,,A heavy beam or lintel thrown down across dug-up ground,images/bw/ruhama_1946_31_bw.jpg,images/color/ruhama_1946_31_colorized.jpg,high,,images/clear/ruhama_1946_31_clear.jpg,
RUH-32,WhatsApp Image 2026-08-09 at 06.19.02 (3).jpeg,clipping,"משמר: ""הרס והתעללות ביישובים הנצורים – יום חמישי למצור ולחיפושים ברוחמה ודורות"" / הקצין וילסון: ""רוחמה, מרכז נשק הגדול אחרי יגור""","Mishmar: ""Destruction and abuse in the besieged settlements - fifth day of the siege and searches at Ruhama and Dorot"" / Officer Wilson: ""Ruhama, the largest arms centre after Yagur""","Mishmar front page, day five of the siege",,,high,"CRITICAL: dates the siege to at least five days and names the British officer. Mishmar was the Hashomer Hatzair daily, later Al HaMishmar.",,
RUH-33,WhatsApp Image 2026-08-09 at 06.19.02.jpeg,photo,,,"Trench dug along a building line, debris and timber piled in it",images/bw/ruhama_1946_33_bw.jpg,images/color/ruhama_1946_33_colorized.jpg,medium,Orientation inferred.,images/clear/ruhama_1946_33_clear.jpg,
RUH-34,WhatsApp Image 2026-08-09 at 06.19.03 (1).jpeg,photo,,,"A woman at a table in a wrecked kitchen or dining hall, salvaging utensils",images/bw/ruhama_1946_34_bw.jpg,images/color/ruhama_1946_34_colorized.jpg,high,Strong human-scale image; good series opener or closer.,images/clear/ruhama_1946_34_clear.jpg,yes
RUH-35,WhatsApp Image 2026-08-09 at 06.19.03 (2).jpeg,photo,,,"Store shelves emptied, linen and bedding thrown into a heap",images/bw/ruhama_1946_35_bw.jpg,images/color/ruhama_1946_35_colorized.jpg,high,,images/clear/ruhama_1946_35_clear.jpg,
RUH-36,WhatsApp Image 2026-08-09 at 06.19.03 (3).jpeg,photo,,,"A mattress cut open, its stuffing pulled out - the standard search technique",images/bw/ruhama_1946_36_bw.jpg,images/color/ruhama_1946_36_colorized.jpg,high,,images/clear/ruhama_1946_36_clear.jpg,
RUH-37,WhatsApp Image 2026-08-09 at 06.19.03.jpeg,photo,,,"Dark interior, floor broken open near a window",images/bw/ruhama_1946_37_bw.jpg,images/color/ruhama_1946_37_colorized.jpg,medium,,images/clear/ruhama_1946_37_clear.jpg,
RUH-38,WhatsApp Image 2026-08-09 at 06.19.04 (1).jpeg,clipping,"משמר: ""הרס והתעללות ביישובים הנצורים – יום חמישי למצור ולחיפושים ברוחמה ודורות. חמסו מבארות בריחות, מחסני אספקה ובמים, ובכל משק רכוש הועלה באש – גילו נשק מגן – החיפושים נמשכים"" / הקצין וילסון: ""רוחמה, מרכז נשק הגדול אחרי יגור""","Mishmar: ""Destruction and abuse in the besieged settlements - fifth day of the siege and searches at Ruhama and Dorot"" / Officer Wilson: ""Ruhama, the largest arms centre after Yagur""",Mishmar front page (fuller frame of #32),,,medium,Sub-deck transcription is provisional - needs a flatbed scan.,,
RUH-39,WhatsApp Image 2026-08-09 at 06.19.04 (2).jpeg,photo,,,"Long interior, probably the cowshed or a barn, wrecked along its whole length",images/bw/ruhama_1946_39_bw.jpg,images/color/ruhama_1946_39_colorized.jpg,medium,Orientation inferred.,images/clear/ruhama_1946_39_clear.jpg,
RUH-40,WhatsApp Image 2026-08-09 at 06.19.04 (3).jpeg,caption,...מתבנים הועלו באש. האספקה... בעלי חיים עורבבו... זבל כימי... הגרעינים טופ[לו],"[partial] ""...haystacks were set alight. The food stores... the livestock scattered... chemical fertiliser [mixed in]... the seed grain spoiled""",Caption card on damage to the farm,,,medium,Card runs off the edge of the photograph; this is the agricultural-damage panel.,,
RUH-41,WhatsApp Image 2026-08-09 at 06.19.04 (4).jpeg,clipping,"משמר: ""הרס והתעללות ביישובים הנצורים"" / הקצין וילסון: ""רוחמה, מרכז נשק הגדול אחרי יגור""",Mishmar front page (third framing),Mishmar front page,,,high,Duplicate framing of #32/#38 - useful for stitching a clean composite.,,
RUH-42,WhatsApp Image 2026-08-09 at 06.19.04 (5).jpeg,photo,,,A timber hut with its cladding torn off,images/bw/ruhama_1946_42_bw.jpg,images/color/ruhama_1946_42_colorized.jpg,medium,Orientation inferred.,images/clear/ruhama_1946_42_clear.jpg,
RUH-43,WhatsApp Image 2026-08-09 at 06.19.04 (6).jpeg,photo,,,Open Negev landscape with a wrecked cart or implement,images/bw/ruhama_1946_43_bw.jpg,images/color/ruhama_1946_43_colorized.jpg,medium,Orientation inferred.,images/clear/ruhama_1946_43_clear.jpg,
RUH-44,WhatsApp Image 2026-08-09 at 06.19.04.jpeg,photo,,,Two prints mounted together: smashed office furniture and scattered ring-binders / files,images/bw/ruhama_1946_44_bw.jpg,images/color/ruhama_1946_44_colorized.jpg,high,The lower frame shows the kibbutz office files thrown on the floor - the archive documenting its own ransacking.,images/clear/ruhama_1946_44_clear.jpg,
RUH-45,WhatsApp Image 2026-08-09 at 06.19.05 (1).jpeg,photo,,,"The yard: wrecked equipment, timber and machinery heaped after the search",images/bw/ruhama_1946_45_bw.jpg,images/color/ruhama_1946_45_colorized.jpg,high,"Widest, best-exposed print in the set. Natural hero image for the 16:9 page.",images/clear/ruhama_1946_45_clear.jpg,yes
RUH-46,WhatsApp Image 2026-08-09 at 06.19.05 (2).jpeg,clipping,"""הנגב זועק תרגז ארץ!"" מאת אליהו בוצני(?) / כותרת כחולה: ""ענפי החקלאות נפגעו הראשונים"" / ""למה נבחרו דורות ורוחמה?""","""The Negev cries out, let the country rage!"" / blue card: ""The farming branches were hit first"" / ""Why were Dorot and Ruhama chosen?""",Opinion piece plus caption cards,,,medium,Author name uncertain at this resolution.,,
RUH-47,WhatsApp Image 2026-08-09 at 06.19.05.jpeg,photo,,,A vast heap of smashed crockery - the kibbutz dining-hall dishes,images/bw/ruhama_1946_47_bw.jpg,images/color/ruhama_1946_47_colorized.jpg,high,Visually the most arresting single frame. Orientation inferred.,images/clear/ruhama_1946_47_clear.jpg,
